"pop_in","pop_out","migration_ESSc"
"Pirttisuo","Pirttilampi",0.004
"Pirttisuo","Pirttisuo",NA
"Pirttisuo","Saarisuo",NA
"Pirttisuo","Teerisuo",NA
"Pirttisuo","Utusuo",0.0039
"Saarisuo","Koskenpää",0.0056
"Saarisuo","Kummunsuo",NA
"Saarisuo","Lauttasuo",0.0033
"Saarisuo","Lehtusuo",NA
"Saarisuo","Nyrölä",NA
"Saarisuo","Palosuo",0.0034
"Saarisuo","Pihtissuo",0.0034
"Saarisuo","Pirttilampi",0.0031
"Saarisuo","Pirttisuo",0.0045
"Saarisuo","Saarisuo",NA
"Saarisuo","Teerisuo",NA
"Saarisuo","Utusuo",0.0033
"Teerisuo","Koskenpää",NA
"Teerisuo","Kummunsuo",NA
"Teerisuo","Lauttasuo",0.002
"Teerisuo","Lehtusuo",NA
"Teerisuo","Nyrölä",NA
"Teerisuo","Palosuo",0.0019
"Teerisuo","Pihtissuo",0.0021
"Teerisuo","Pirttilampi",0.0018
"Teerisuo","Pirttisuo",0.0039
"Teerisuo","Saarisuo",0.0058
"Teerisuo","Teerisuo",NA
"Teerisuo","Utusuo",0.002
"Utusuo","Koskenpää",0.0071
"Utusuo","Kummunsuo",NA
"Utusuo","Lauttasuo",0.0059
"Utusuo","Lehtusuo",NA
"Utusuo","Nyrölä",NA
"Utusuo","Palosuo",0.0059
"Utusuo","Pihtissuo",0.006
"Utusuo","Pirttilampi",0.0059
"Utusuo","Pirttisuo",0.0059
"Utusuo","Saarisuo",NA
"Utusuo","Teerisuo",NA
"Utusuo","Utusuo",0.6726
