1:    0.928 0.072 1    
191:  0.860 0.140 1    
192:  0.851 0.149 1    
193:  0.891 0.109 1    
194:  0.144 0.856 1    
195:  0.451 0.549 1    
196:  0.627 0.373 1    
197:  0.907 0.093 1    
198:  0.591 0.409 1    
199:  0.831 0.169 1    
200:  0.950 0.050 1    
201:  0.840 0.160 1    
202:  0.887 0.113 1    
203:  0.945 0.055 1    
204:  0.478 0.522 1    
205:  0.882 0.118 1    
206:  0.791 0.209 1    
207:  0.628 0.372 1    
208:  0.653 0.347 1    
209:  0.823 0.177 1    
210:  0.923 0.077 1    
211:  0.896 0.104 1    
212:  0.838 0.162 1    
213:  0.587 0.413 1    
214:  0.639 0.361 1    
215:  0.504 0.496 1    
216:  0.285 0.715 1    
217:  0.314 0.686 1    
218:  0.370 0.630 1    
219:  0.551 0.449 1    
220:  0.122 0.878 1    
221:  0.944 0.056 1    
222:  0.695 0.305 1    
223:  0.708 0.292 1    
224:  0.797 0.203 1    
225:  0.804 0.196 1    
226:  0.906 0.094 1    
227:  0.552 0.448 1    
228:  0.169 0.831 1    
229:  0.097 0.903 1    
230:  0.904 0.096 1    
231:  0.271 0.729 1    
232:  0.851 0.149 1    
233:  0.930 0.070 1    
234:  0.611 0.389 1    
235:  0.441 0.559 1    
236:  0.261 0.739 1    
237:  0.545 0.455 1    
238:  0.201 0.799 1    
239:  0.295 0.705 1    
240:  0.720 0.280 1    
241:  0.877 0.123 1    
242:  0.646 0.354 1    
243:  0.262 0.738 1    
244:  0.075 0.925 1    
245:  0.347 0.653 1    
246:  0.031 0.969 1    
247:  0.430 0.570 1    
248:  0.392 0.608 1    
249:  0.504 0.496 1    
250:  0.920 0.080 1    
251:  0.801 0.199 1    
252:  0.150 0.850 1    
253:  0.691 0.309 1    
254:  0.771 0.229 1    
255:  0.129 0.871 1    
256:  0.189 0.811 1    
257:  0.154 0.846 1    
258:  0.215 0.785 1    
259:  0.850 0.150 1    
260:  0.570 0.430 1    
261:  0.527 0.473 1    
262:  0.105 0.895 1    
263:  0.608 0.392 1    
264:  0.612 0.388 1    
265:  0.287 0.713 1    
266:  0.497 0.503 1    
267:  0.233 0.767 1    
268:  0.894 0.106 1    
269:  0.071 0.929 1    
270:  0.148 0.852 1    
271:  0.067 0.933 1    
272:  0.535 0.465 1    
273:  0.725 0.275 1    
274:  0.857 0.143 1    
275:  0.179 0.821 1    
276:  0.351 0.649 1    
277:  0.167 0.833 1    
278:  0.307 0.693 1    
279:  0.193 0.807 1    
280:  0.735 0.265 1    
281:  0.110 0.890 1    
282:  0.843 0.157 1    
283:  0.339 0.661 1    
284:  0.102 0.898 1    
285:  0.247 0.753 1    
286:  0.601 0.399 1    
287:  0.527 0.473 1    
288:  0.809 0.191 1    
289:  0.655 0.345 1    
290:  0.452 0.548 1    
291:  0.126 0.874 1    
292:  0.218 0.782 1    
293:  0.249 0.751 1    
294:  0.569 0.431 1    
295:  0.071 0.929 1    
296:  0.409 0.591 1    
297:  0.098 0.902 1    
298:  0.183 0.817 1    
299:  0.198 0.802 1    
300:  0.915 0.085 1    
301:  0.052 0.948 1    
302:  0.608 0.392 1    
303:  0.332 0.668 1    
304:  0.485 0.515 1    
305:  0.632 0.368 1    
306:  0.193 0.807 1    
307:  0.110 0.890 1    
308:  0.437 0.563 1    
309:  0.079 0.921 1    
310:  0.055 0.945 1    
311:  0.085 0.915 1    
312:  0.195 0.805 1    
313:  0.065 0.935 1    
314:  0.382 0.618 1    
315:  0.085 0.915 1    
316:  0.394 0.606 1    
317:  0.127 0.873 1    
318:  0.133 0.867 1    
319:  0.862 0.138 1    
320:  0.650 0.350 1    
321:  0.140 0.860 1    
322:  0.147 0.853 1    
323:  0.241 0.759 1    
324:  0.259 0.741 1    
325:  0.124 0.876 1    
326:  0.246 0.754 1    
327:  0.938 0.062 1    
328:  0.123 0.877 1    
329:  0.243 0.757 1    
330:  0.798 0.202 1    
331:  0.140 0.860 1    
332:  0.318 0.682 1    
333:  0.921 0.079 1    
334:  0.328 0.672 1    
335:  0.936 0.064 1    
336:  0.766 0.234 1    
337:  0.148 0.852 1    
338:  0.070 0.930 1    
339:  0.126 0.874 1    
340:  0.100 0.900 1    
341:  0.227 0.773 1    
342:  0.924 0.076 1    
343:  0.853 0.147 1    
344:  0.146 0.854 1    
345:  0.784 0.216 1    
346:  0.162 0.838 1    
347:  0.849 0.151 1    
348:  0.521 0.479 1    
349:  0.380 0.620 1    
350:  0.835 0.165 1    
351:  0.284 0.716 1    
352:  0.654 0.346 1    
353:  0.950 0.050 1    
354:  0.321 0.679 1    
355:  0.557 0.443 1    
356:  0.214 0.786 1    
357:  0.052 0.948 1    
358:  0.127 0.873 1    
359:  0.147 0.853 1    
360:  0.273 0.727 1    
361:  0.698 0.302 1    
362:  0.213 0.787 1    
363:  0.048 0.952 1    
364:  0.347 0.653 1    
365:  0.136 0.864 1    
366:  0.861 0.139 1    
367:  0.143 0.857 1    
368:  0.140 0.860 1    
369:  0.902 0.098 1    
370:  0.438 0.562 1    
371:  0.129 0.871 1    
372:  0.148 0.852 1    
373:  0.544 0.456 1    
374:  0.282 0.718 1    
375:  0.362 0.638 1    
376:  0.923 0.077 1    
377:  0.432 0.568 1    
378:  0.201 0.799 1    
379:  0.291 0.709 1    
380:  0.398 0.602 1    
381:  0.713 0.287 1    
382:  0.531 0.469 1    
383:  0.188 0.812 1    
384:  0.940 0.060 1    
385:  0.053 0.947 1    
386:  0.656 0.344 1    
387:  0.259 0.741 1    
388:  0.869 0.131 1    
389:  0.526 0.474 1    
390:  0.198 0.802 1    
391:  0.177 0.823 1    
392:  0.683 0.317 1    
393:  0.298 0.702 1    
394:  0.417 0.583 1    
395:  0.080 0.920 1    
396:  0.314 0.686 1    
397:  0.920 0.080 1    
398:  0.937 0.063 1    
399:  0.061 0.939 1    
400:  0.095 0.905 1    
401:  0.264 0.736 1    
402:  0.481 0.519 1    
403:  0.422 0.578 1    
404:  0.224 0.776 1    
405:  0.377 0.623 1    
406:  0.095 0.905 1    
407:  0.147 0.853 1    
408:  0.479 0.521 1    
409:  0.857 0.143 1    
410:  0.439 0.561 1    
411:  0.056 0.944 1    
412:  0.184 0.816 1    
413:  0.195 0.805 1    
414:  0.174 0.826 1    
415:  0.325 0.675 1    
416:  0.257 0.743 1    
417:  0.713 0.287 1    
418:  0.377 0.623 1    
419:  0.172 0.828 1    
420:  0.396 0.604 1    
421:  0.825 0.175 1    
422:  0.953 0.047 1    
423:  0.227 0.773 1    
424:  0.856 0.144 1    
425:  0.140 0.860 1    
426:  0.791 0.209 1    
427:  0.087 0.913 1    
428:  0.557 0.443 1    
429:  0.219 0.781 1    
430:  0.778 0.222 1    
431:  0.643 0.357 1    
432:  0.033 0.967 1    
433:  0.813 0.187 1    
434:  0.097 0.903 1    
435:  0.465 0.535 1    
436:  0.852 0.148 1    
437:  0.821 0.179 1    
438:  0.483 0.517 1    
439:  0.269 0.731 1    
440:  0.281 0.719 1    
441:  0.529 0.471 1    
442:  0.937 0.063 1    
443:  0.398 0.602 1    
444:  0.107 0.893 1    
445:  0.749 0.251 1    
446:  0.793 0.207 1    
447:  0.744 0.256 1    
448:  0.511 0.489 1    
449:  0.524 0.476 1    
450:  0.805 0.195 1    
451:  0.604 0.396 1    
452:  0.796 0.204 1    
453:  0.184 0.816 1    
454:  0.158 0.842 1    
455:  0.946 0.054 1    
456:  0.019 0.981 1    
457:  0.653 0.347 1    
458:  0.597 0.403 1    
459:  0.848 0.152 1    
460:  0.878 0.122 1    
461:  0.762 0.238 1    
462:  0.736 0.264 1    
463:  0.960 0.040 1    
464:  0.327 0.673 1    
465:  0.547 0.453 1    
466:  0.092 0.908 1    
467:  0.967 0.033 1    
468:  0.625 0.375 1    
469:  0.909 0.091 1    
470:  0.795 0.205 1    
471:  0.439 0.561 1    
472:  0.555 0.445 1    
473:  0.893 0.107 1    
474:  0.394 0.606 1    
475:  0.162 0.838 1    
476:  0.120 0.880 1    
477:  0.204 0.796 1    
478:  0.231 0.769 1    
479:  0.074 0.926 1    
480:  0.038 0.962 1    
481:  0.593 0.407 1    
482:  0.886 0.114 1    
483:  0.930 0.070 1    
484:  0.946 0.054 1    
485:  0.384 0.616 1    
486:  0.691 0.309 1    
487:  0.919 0.081 1    
488:  0.176 0.824 1    
489:  0.041 0.959 1    
490:  0.793 0.207 1    
491:  0.823 0.177 1    
492:  0.881 0.119 1    
493:  0.049 0.951 1    
494:  0.028 0.972 1    
495:  0.226 0.774 1    
496:  0.321 0.679 1    
497:  0.888 0.112 1    
498:  0.713 0.287 1    
499:  0.112 0.888 1    
500:  0.204 0.796 1    
501:  0.135 0.865 1    
502:  0.838 0.162 1    
503:  0.858 0.142 1    
504:  0.194 0.806 1    
505:  0.866 0.134 1    
506:  0.346 0.654 1    
507:  0.840 0.160 1    
508:  0.528 0.472 1    
509:  0.743 0.257 1    
510:  0.831 0.169 1    
511:  0.977 0.023 1    
512:  0.191 0.809 1    
513:  0.271 0.729 1    
514:  0.045 0.955 1    
515:  0.292 0.708 1    
516:  0.821 0.179 1    
517:  0.535 0.465 1    
518:  0.643 0.357 1    
519:  0.707 0.293 1    
520:  0.298 0.702 1    
521:  0.199 0.801 1    
522:  0.187 0.813 1    
523:  0.294 0.706 1    
524:  0.488 0.512 1    
525:  0.133 0.867 1    
526:  0.318 0.682 1    
527:  0.055 0.945 1    
528:  0.761 0.239 1    
529:  0.066 0.934 1    
530:  0.101 0.899 1    
531:  0.043 0.957 1    
532:  0.099 0.901 1    
533:  0.411 0.589 1    
534:  0.375 0.625 1    
535:  0.918 0.082 1    
536:  0.217 0.783 1    
537:  0.287 0.713 1    
538:  0.115 0.885 1    
539:  0.435 0.565 1    
540:  0.191 0.809 1    
541:  0.358 0.642 1    
542:  0.456 0.544 1    
543:  0.162 0.838 1    
544:  0.452 0.548 1    
545:  0.969 0.031 1    
546:  0.851 0.149 1    
547:  0.711 0.289 1    
548:  0.644 0.356 1    
549:  0.456 0.544 1    
550:  0.746 0.254 1    
551:  0.177 0.823 1    
552:  0.687 0.313 1    
553:  0.851 0.149 1    
554:  0.920 0.080 1    
555:  0.546 0.454 1    
556:  0.146 0.854 1    
557:  0.118 0.882 1    
558:  0.595 0.405 1    
559:  0.793 0.207 1    
560:  0.779 0.221 1    
561:  0.266 0.734 1    
562:  0.141 0.859 1    
563:  0.106 0.894 1    
564:  0.605 0.395 1    
565:  0.208 0.792 1    
566:  0.631 0.369 1    
567:  0.390 0.610 1    
568:  0.150 0.850 1    
569:  0.483 0.517 1    
570:  0.211 0.789 1    
571:  0.296 0.704 1    
572:  0.450 0.550 1    
573:  0.694 0.306 1    
574:  0.820 0.180 1    
575:  0.313 0.687 1    
576:  0.130 0.870 1    
577:  0.135 0.865 1    
578:  0.366 0.634 1    
579:  0.498 0.502 1    
580:  0.096 0.904 1    
581:  0.053 0.947 1    
582:  0.791 0.209 1    
583:  0.397 0.603 1    
584:  0.172 0.828 1    
585:  0.793 0.207 1    
586:  0.325 0.675 1    
587:  0.702 0.298 1    
588:  0.194 0.806 1    
589:  0.765 0.235 1    
590:  0.194 0.806 1    
591:  0.967 0.033 1    
592:  0.704 0.296 1    
593:  0.137 0.863 1    
594:  0.260 0.740 1    
595:  0.137 0.863 1    
596:  0.863 0.137 1    
597:  0.353 0.647 1    
598:  0.465 0.535 1    
599:  0.675 0.325 1    
600:  0.309 0.691 1    
601:  0.938 0.062 1    
602:  0.796 0.204 1    
603:  0.276 0.724 1    
604:  0.139 0.861 1    
605:  0.139 0.861 1    
606:  0.609 0.391 1    
607:  0.634 0.366 1    
608:  0.246 0.754 1    
609:  0.335 0.665 1    
610:  0.298 0.702 1    
611:  0.285 0.715 1    
612:  0.396 0.604 1    
613:  0.327 0.673 1    
614:  0.574 0.426 1    
615:  0.278 0.722 1    
616:  0.802 0.198 1    
617:  0.246 0.754 1    
618:  0.286 0.714 1    
619:  0.472 0.528 1    
620:  0.424 0.576 1    
621:  0.254 0.746 1    
622:  0.126 0.874 1    
623:  0.077 0.923 1    
624:  0.246 0.754 1    
625:  0.546 0.454 1    
626:  0.585 0.415 1    
627:  0.566 0.434 1    
628:  0.665 0.335 1    
629:  0.866 0.134 1    
630:  0.118 0.882 1    
631:  0.894 0.106 1    
632:  0.787 0.213 1    
633:  0.136 0.864 1    
634:  0.280 0.720 1    
635:  0.047 0.953 1    
636:  0.546 0.454 1    
637:  0.845 0.155 1    
638:  0.728 0.272 1    
639:  0.517 0.483 1    
640:  0.650 0.350 1    
641:  0.787 0.213 1    
642:  0.487 0.513 1    
643:  0.330 0.670 1    
644:  0.222 0.778 1    
645:  0.945 0.055 1    
646:  0.159 0.841 1    
647:  0.896 0.104 1    
648:  0.717 0.283 1    
649:  0.907 0.093 1    
650:  0.736 0.264 1    
651:  0.751 0.249 1    
652:  0.805 0.195 1    
653:  0.260 0.740 1    
654:  0.138 0.862 1    
655:  0.089 0.911 1    
656:  0.534 0.466 1    
657:  0.074 0.926 1    
658:  0.486 0.514 1    
659:  0.840 0.160 1    
660:  0.328 0.672 1    
661:  0.446 0.554 1    
662:  0.971 0.029 1    
663:  0.594 0.406 1    
664:  0.721 0.279 1    
665:  0.379 0.621 1    
666:  0.294 0.706 1    
667:  0.924 0.076 1    
668:  0.748 0.252 1    
669:  0.308 0.692 1    
670:  0.551 0.449 1    
671:  0.894 0.106 1    
672:  0.088 0.912 1    
673:  0.604 0.396 1    
674:  0.228 0.772 1    
675:  0.342 0.658 1    
676:  0.464 0.536 1    
677:  0.166 0.834 1    
678:  0.511 0.489 1    
679:  0.263 0.737 1    
680:  0.616 0.384 1    
681:  0.370 0.630 1    
682:  0.730 0.270 1    
683:  0.819 0.181 1    
684:  0.526 0.474 1    
685:  0.495 0.505 1    
686:  0.182 0.818 1    
687:  0.364 0.636 1    
688:  0.459 0.541 1    
689:  0.428 0.572 1    
690:  0.064 0.936 1    
691:  0.282 0.718 1    
692:  0.243 0.757 1    
693:  0.744 0.256 1    
694:  0.545 0.455 1    
695:  0.044 0.956 1    
696:  0.677 0.323 1    
697:  0.536 0.464 1    
698:  0.473 0.527 1    
699:  0.467 0.533 1    
700:  0.496 0.504 1    
701:  0.079 0.921 1    
702:  0.208 0.792 1    
703:  0.275 0.725 1    
704:  0.425 0.575 1    
705:  0.676 0.324 1    
706:  0.930 0.070 1    
707:  0.293 0.707 1    
708:  0.556 0.444 1    
709:  0.905 0.095 1    
710:  0.490 0.510 1    
711:  0.265 0.735 1    
712:  0.532 0.468 1    
713:  0.534 0.466 1    
           
           
1:    0.130 0.870 1    
2:    0.407 0.593 1    
3:    0.248 0.752 1    
4:    0.427 0.573 1    
5:    0.294 0.706 1    
6:    0.164 0.836 1    
7:    0.645 0.355 1    
8:    0.221 0.779 1    
9:    0.107 0.893 1    
10:   0.844 0.156 1    
11:   0.377 0.623 1    
12:   0.160 0.840 1    
13:   0.587 0.413 1    
14:   0.151 0.849 1    
15:   0.519 0.481 1    
16:   0.400 0.600 1    
17:   0.265 0.735 1    
18:   0.722 0.278 1    
19:   0.757 0.243 1    
20:   0.505 0.495 1    
21:   0.898 0.102 1    
22:   0.769 0.231 1    
23:   0.864 0.136 1    
24:   0.583 0.417 1    
25:   0.518 0.482 1    
26:   0.904 0.096 1    
27:   0.126 0.874 1    
28:   0.813 0.187 1    
29:   0.609 0.391 1    
30:   0.155 0.845 1    
31:   0.908 0.092 1    
32:   0.662 0.338 1    
33:   0.106 0.894 1    
34:   0.795 0.205 1    
35:   0.866 0.134 1    
36:   0.859 0.141 1    
37:   0.536 0.464 1    
38:   0.406 0.594 1    
39:   0.175 0.825 1    
40:   0.568 0.432 1    
41:   0.761 0.239 1    
42:   0.320 0.680 1    
43:   0.156 0.844 1    
44:   0.408 0.592 1    
45:   0.050 0.950 1    
46:   0.066 0.934 1    
47:   0.401 0.599 1    
48:   0.273 0.727 1    
49:   0.069 0.931 1    
50:   0.228 0.772 1    
51:   0.082 0.918 1    
52:   0.234 0.766 1    
53:   0.232 0.768 1    
54:   0.046 0.954 1    
55:   0.308 0.692 1    
56:   0.226 0.774 1    
57:   0.621 0.379 1    
58:   0.243 0.757 1    
59:   0.328 0.672 1    
60:   0.108 0.892 1    
61:   0.479 0.521 1    
62:   0.297 0.703 1    
63:   0.312 0.688 1    
64:   0.342 0.658 1    
65:   0.068 0.932 1    
66:   0.622 0.378 1    
67:   0.865 0.135 1    
68:   0.387 0.613 1    
69:   0.833 0.167 1    
70:   0.732 0.268 1    
71:   0.090 0.910 1    
72:   0.238 0.762 1    
73:   0.336 0.664 1    
74:   0.116 0.884 1    
75:   0.173 0.827 1    
76:   0.076 0.924 1    
77:   0.162 0.838 1    
78:   0.145 0.855 1    
79:   0.515 0.485 1    
80:   0.133 0.867 1    
81:   0.900 0.100 1    
82:   0.108 0.892 1    
83:   0.223 0.777 1    
84:   0.174 0.826 1    
85:   0.139 0.861 1    
86:   0.582 0.418 1    
87:   0.087 0.913 1    
88:   0.097 0.903 1    
89:   0.181 0.819 1    
90:   0.762 0.238 1    
91:   0.098 0.902 1    
92:   0.063 0.937 1    
93:   0.199 0.801 1    
94:   0.265 0.735 1    
95:   0.210 0.790 1    
96:   0.828 0.172 1    
97:   0.308 0.692 1    
98:   0.166 0.834 1    
99:   0.478 0.522 1    
100:  0.293 0.707 1    
101:  0.235 0.765 1    
102:  0.354 0.646 1    
103:  0.693 0.307 1    
104:  0.142 0.858 1    
105:  0.384 0.616 1    
106:  0.793 0.207 1    
107:  0.130 0.870 1    
108:  0.609 0.391 1    
109:  0.207 0.793 1    
110:  0.146 0.854 1    
111:  0.373 0.627 1    
112:  0.553 0.447 1    
113:  0.534 0.466 1    
114:  0.418 0.582 1    
115:  0.595 0.405 1    
116:  0.179 0.821 1    
117:  0.295 0.705 1    
118:  0.467 0.533 1    
119:  0.298 0.702 1    
120:  0.133 0.867 1    
121:  0.764 0.236 1    
122:  0.487 0.513 1    
123:  0.231 0.769 1    
124:  0.579 0.421 1    
125:  0.316 0.684 1    
126:  0.659 0.341 1    
127:  0.350 0.650 1    
128:  0.493 0.507 1    
129:  0.192 0.808 1    
130:  0.636 0.364 1    
131:  0.210 0.790 1    
132:  0.540 0.460 1    
133:  0.921 0.079 1    
134:  0.304 0.696 1    
135:  0.589 0.411 1    
136:  0.730 0.270 1    
137:  0.099 0.901 1    
138:  0.666 0.334 1    
139:  0.210 0.790 1    
140:  0.517 0.483 1    
141:  0.389 0.611 1    
142:  0.063 0.937 1    
143:  0.294 0.706 1    
144:  0.178 0.822 1    
145:  0.190 0.810 1    
146:  0.739 0.261 1    
147:  0.294 0.706 1    
148:  0.889 0.111 1    
149:  0.568 0.432 1    
150:  0.646 0.354 1    
151:  0.303 0.697 1    
152:  0.450 0.550 1    
153:  0.701 0.299 1    
154:  0.454 0.546 1    
155:  0.850 0.150 1    
156:  0.713 0.287 1    
157:  0.379 0.621 1    
158:  0.212 0.788 1    
159:  0.286 0.714 1    
160:  0.186 0.814 1    
161:  0.663 0.337 1    
162:  0.598 0.402 1    
163:  0.453 0.547 1    
164:  0.762 0.238 1    
165:  0.163 0.837 1    
166:  0.482 0.518 1    
167:  0.373 0.627 1    
168:  0.370 0.630 1    
169:  0.333 0.667 1    
170:  0.253 0.747 1    
171:  0.780 0.220 1    
172:  0.778 0.222 1    
173:  0.215 0.785 1    
174:  0.877 0.123 1    
175:  0.318 0.682 1    
176:  0.119 0.881 1    
177:  0.255 0.745 1    
178:  0.751 0.249 1    
179:  0.447 0.553 1    
180:  0.874 0.126 1    
181:  0.292 0.708 1    
182:  0.339 0.661 1    
183:  0.541 0.459 1    
184:  0.726 0.274 1    
185:  0.724 0.276 1    
186:  0.189 0.811 1    
187:  0.803 0.197 1    
188:  0.843 0.157 1    
189:  0.294 0.706 1    
190:  0.332 0.668 1    
191:  0.414 0.586 1    
192:  0.868 0.132 1    
193:  0.694 0.306 1    
194:  0.694 0.306 1    
195:  0.613 0.387 1    
196:  0.400 0.600 1    
197:  0.707 0.293 1    
198:  0.700 0.300 1    
199:  0.274 0.726 1    
200:  0.492 0.508 1    
201:  0.673 0.327 1    
202:  0.570 0.430 1    
203:  0.126 0.874 1    
204:  0.352 0.648 1    
205:  0.135 0.865 1    
206:  0.344 0.656 1    
207:  0.375 0.625 1    
208:  0.515 0.485 1    
209:  0.351 0.649 1    
210:  0.360 0.640 1    
211:  0.509 0.491 1    
212:  0.320 0.680 1    
213:  0.847 0.153 1    
214:  0.573 0.427 1    
215:  0.701 0.299 1    
216:  0.827 0.173 1    
217:  0.488 0.512 1    
218:  0.830 0.170 1    
219:  0.727 0.273 1    
220:  0.719 0.281 1    
221:  0.498 0.502 1    
222:  0.413 0.587 1    
223:  0.278 0.722 1    
224:  0.180 0.820 1    
225:  0.802 0.198 1    
226:  0.296 0.704 1    
227:  0.454 0.546 1    
228:  0.816 0.184 1    
229:  0.255 0.745 1    
230:  0.117 0.883 1    
231:  0.523 0.477 1    
232:  0.186 0.814 1    
233:  0.671 0.329 1    
234:  0.288 0.712 1    
235:  0.609 0.391 1    
236:  0.898 0.102 1    
237:  0.568 0.432 1    
238:  0.284 0.716 1    
239:  0.821 0.179 1    
240:  0.866 0.134 1    
241:  0.409 0.591 1    
242:  0.427 0.573 1    
243:  0.632 0.368 1    
244:  0.226 0.774 1    
245:  0.702 0.298 1    
246:  0.157 0.843 1    
247:  0.413 0.587 1    
248:  0.479 0.521 1    
249:  0.212 0.788 1    
250:  0.150 0.850 1    
251:  0.229 0.771 1    
252:  0.882 0.118 1    
253:  0.536 0.464 1    
254:  0.439 0.561 1    
255:  0.689 0.311 1    
256:  0.847 0.153 1    
257:  0.780 0.220 1    
258:  0.595 0.405 1    
259:  0.138 0.862 1    
260:  0.259 0.741 1    
261:  0.821 0.179 1    
262:  0.729 0.271 1    
263:  0.591 0.409 1    
264:  0.315 0.685 1    
265:  0.746 0.254 1    
266:  0.188 0.812 1    
267:  0.906 0.094 1    
268:  0.413 0.587 1    
269:  0.819 0.181 1    
270:  0.748 0.252 1    
271:  0.842 0.158 1    
272:  0.753 0.247 1    
273:  0.302 0.698 1    
274:  0.294 0.706 1    
275:  0.893 0.107 1    
276:  0.660 0.340 1    
277:  0.844 0.156 1    
278:  0.780 0.220 1    
279:  0.863 0.137 1    
280:  0.517 0.483 1    
281:  0.743 0.257 1    
282:  0.213 0.787 1    
283:  0.549 0.451 1    
284:  0.825 0.175 1    
285:  0.747 0.253 1    
