31/10/2022 16:02:54 :
        Data file: C:\Users\rchen2\Documents\Black Grouse PhD\GitHub\blackgrouse-hunting\data\cleandata\Microsat.females.noLOCUS1+13.fstat.dat
        Used loci:  Loc_1 Loc_2 Loc_3 Loc_4 Loc_5 Loc_7 Loc_8 Loc_9 Loc_10 Loc_11
        Detection of first generation migrants
        Likelihood ratio L_home / L_max
        Criterion: Rannala & Mountain (1997)
        Number of simulated individuals: 1000
        Simulation algorithm: Paetkau et al. (2004)
        Threshold (p-value): 0.01
        Starting computation
31/10/2022 16:02:54 - 13 individuals with a probability below 0.01
31/10/2022 16:02:55 - Computation terminated. Duration: 13341.390 s
;;;;1;2;3;4;5;6;7;8;9;10;11;12;Nb. of loci;Used loci;Missing loci
1/;1;1.115;0.145;12.368;12.379;12.914;11.954;12.600;11.254;15.604;13.730;12.362;11.887;12.198;11.373;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.104;0.600;10.007;10.048;10.231;9.998;10.016;10.103;13.246;10.398;10.022;10.087;9.903;10.717;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.830;11.869;12.636;14.753;12.141;12.483;12.777;14.311;12.295;13.308;12.704;12.926;12.088;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;2.449;0.013;13.237;12.197;11.997;11.729;12.534;13.484;10.788;12.392;13.341;11.163;12.558;12.668;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.831;0.232;13.082;12.251;13.992;13.609;13.004;12.970;17.616;12.348;12.848;12.463;12.648;14.005;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.566;0.343;11.279;10.885;10.918;11.382;10.713;11.965;11.608;11.295;10.792;11.071;11.043;12.563;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.521;0.367;12.323;12.546;15.429;12.762;11.949;12.081;15.039;12.879;12.164;12.109;11.801;13.299;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.002;0.648;11.530;11.996;13.178;11.891;12.055;12.525;12.098;13.674;14.124;11.647;11.528;12.585;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.611;0.323;11.893;11.654;13.558;12.035;11.282;13.164;12.223;13.658;12.666;11.992;12.388;11.705;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.322;0.477;10.519;10.971;10.883;11.138;10.965;12.296;10.198;10.345;11.701;10.716;10.985;10.841;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;2.127;0.022;11.936;11.275;11.474;11.228;11.340;11.087;13.199;13.623;11.927;11.310;11.412;9.809;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.035;0.167;11.551;11.991;12.454;11.028;11.223;12.525;15.295;11.773;11.948;10.516;10.917;12.887;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.479;0.393;11.007;12.275;14.658;11.453;11.669;11.300;12.528;12.492;12.670;11.741;10.802;10.528;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.117;0.593;15.012;16.670;14.895;16.499;16.495;16.734;22.318;16.304;17.409;17.048;16.180;16.592;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.251;0.515;13.483;13.232;16.231;14.863;13.670;14.676;16.066;17.780;13.635;14.471;13.458;14.728;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.917;0.199;12.908;12.876;12.257;12.446;12.149;11.991;15.847;14.407;12.333;12.637;12.351;13.937;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.036;0.632;10.780;11.060;11.075;10.743;11.090;11.829;14.239;12.926;11.307;11.029;10.835;11.163;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.127;0.593;11.306;12.358;16.060;11.655;11.856;12.623;16.886;13.924;14.116;11.179;12.249;14.155;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.828;13.579;15.162;17.563;14.950;14.471;15.819;17.033;15.429;14.312;13.849;14.669;14.842;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.823;11.550;12.772;14.530;12.348;12.233;14.226;18.055;13.489;13.308;12.310;11.868;13.086;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.826;12.033;13.061;14.029;13.474;12.492;13.072;15.791;12.810;12.482;13.016;12.490;12.194;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.882;0.033;12.280;11.318;10.399;11.740;11.982;12.661;10.481;10.881;11.021;11.983;11.444;11.608;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.861;0.037;14.631;15.657;16.672;14.410;14.973;14.164;20.436;17.323;12.769;15.583;14.906;16.655;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.369;0.451;10.828;10.868;12.234;10.929;10.534;11.157;16.136;11.585;13.298;10.459;10.598;12.428;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;13.053;13.598;16.331;14.672;13.543;16.361;16.925;17.794;17.770;14.948;14.206;16.970;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;11.849;12.896;15.208;13.016;13.105;13.562;16.793;14.667;14.553;12.514;12.457;12.865;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.255;0.114;12.830;12.736;12.615;12.577;12.799;12.245;15.502;13.205;12.297;11.575;13.264;12.153;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.149;0.578;10.150;10.001;13.254;10.767;11.214;11.078;14.931;10.500;12.116;10.739;10.633;11.183;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.867;0.216;11.951;12.630;14.550;12.132;11.801;12.586;13.342;11.126;14.375;12.152;12.439;11.084;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.826;11.838;12.116;15.310;13.370;13.656;13.063;17.888;14.223;13.866;13.202;11.963;14.402;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.760;0.264;10.279;9.711;12.913;10.157;10.049;10.220;10.542;9.950;10.319;9.917;9.853;9.519;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.991;0.177;11.191;11.209;14.878;10.880;10.553;10.201;14.600;12.725;11.506;10.629;10.949;12.481;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.521;0.071;13.699;13.476;14.155;12.867;12.716;13.343;12.677;17.040;13.562;12.762;12.630;12.179;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.103;0.149;13.673;13.409;13.028;15.113;13.801;15.867;16.704;15.553;12.570;15.015;14.260;13.062;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.285;0.110;17.338;17.869;18.443;18.869;18.005;20.395;17.005;18.596;17.458;18.428;18.798;16.053;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.961;0.188;13.549;13.445;16.095;12.797;12.617;12.731;13.668;14.024;14.240;13.651;14.100;12.588;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.039;0.632;12.124;13.058;15.997;13.540;12.085;14.808;15.831;16.649;15.139;14.026;13.189;13.917;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.439;0.083;13.200;13.321;12.669;12.265;13.504;13.605;17.238;12.397;11.761;13.271;12.647;14.046;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.761;0.044;14.478;13.298;14.210;14.981;13.835;13.119;12.717;15.472;13.781;12.816;13.922;13.213;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.953;0.034;14.185;13.501;12.232;15.908;13.589;15.163;14.254;15.976;13.720;15.498;14.232;14.068;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.333;0.473;12.148;13.308;14.733;11.877;11.815;12.157;15.413;16.483;14.722;12.999;12.263;12.506;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.236;0.530;11.357;12.147;13.045;12.539;11.668;11.490;13.195;14.569;12.722;12.639;11.863;11.121;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;11.482;12.320;12.600;12.374;11.838;12.310;15.014;13.061;11.652;13.966;12.394;12.314;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.353;0.460;10.786;11.325;14.496;10.433;10.803;11.815;16.662;12.327;14.137;11.548;10.968;13.274;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.696;0.289;10.023;10.352;12.860;10.116;10.298;10.197;12.689;9.327;11.872;10.091;9.453;11.002;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.512;0.371;13.533;14.082;16.926;14.193;14.903;13.460;15.249;14.766;14.072;14.225;14.572;13.021;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.132;0.579;11.478;11.790;12.639;11.420;11.419;11.397;15.380;11.346;12.726;12.871;11.995;12.935;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.870;0.217;14.741;15.041;17.226;15.094;14.960;13.871;15.642;15.092;17.188;15.162;15.280;14.513;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.192;0.128;10.799;10.182;13.562;10.411;10.789;10.176;12.201;10.575;11.335;10.556;10.686;9.607;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.683;0.294;13.060;12.378;15.330;14.051;13.808;13.336;18.114;15.045;16.024;12.968;14.174;14.297;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.829;13.747;16.403;17.983;16.553;16.884;16.465;19.089;14.959;17.077;16.910;16.154;17.180;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.549;0.354;10.671;10.122;14.403;10.137;10.799;10.310;14.733;10.789;13.239;11.365;10.347;12.311;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.638;0.057;13.565;13.238;16.314;13.707;13.429;14.527;13.644;13.302;13.500;12.925;13.547;11.928;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.367;0.441;10.234;10.644;13.266;9.866;10.031;9.935;13.286;11.214;10.567;10.198;10.415;10.182;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.824;14.689;15.898;17.169;14.875;15.322;14.743;21.029;15.036;17.486;16.062;16.525;17.404;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.550;0.360;11.500;10.950;14.851;12.540;11.005;11.209;11.827;14.659;12.498;12.019;11.154;11.953;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.828;14.433;16.822;17.917;16.614;16.259;17.688;19.448;17.825;16.560;16.985;16.015;17.553;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;13.412;14.091;13.498;17.204;13.677;16.161;19.012;14.756;14.565;16.866;14.251;16.236;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.730;0.273;10.354;10.074;12.559;10.317;10.019;11.574;12.614;9.624;11.624;10.670;10.403;11.563;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.549;0.065;13.436;12.514;12.979;11.887;13.433;13.663;15.981;13.135;13.147;12.414;11.923;15.246;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.290;0.492;11.202;11.248;13.705;11.548;11.662;11.284;14.869;12.937;11.700;11.799;10.912;13.930;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.294;0.496;14.345;14.827;15.780;14.052;16.022;16.781;17.446;18.477;16.450;14.757;14.815;17.094;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.665;0.306;10.939;10.274;11.875;10.685;10.588;11.851;13.575;10.927;11.393;11.047;11.240;12.668;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.824;11.907;12.234;14.178;13.858;14.151;13.578;12.724;13.461;13.368;13.225;11.923;13.492;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;13.163;15.206;15.996;16.023;16.304;14.177;17.973;15.430;17.306;15.747;14.976;16.325;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;2.694;0.008;18.129;16.540;18.454;15.434;17.850;16.665;16.697;19.080;17.841;18.078;18.075;17.795;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.825;15.181;17.127;19.165;18.905;18.626;18.702;20.060;18.379;19.975;17.300;20.014;19.138;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.064;0.613;12.146;12.294;14.661;12.421;12.396;13.191;12.376;13.795;13.199;12.545;12.082;12.288;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.247;0.112;14.002;14.622;17.707;13.334;13.537;14.365;15.782;15.785;13.253;12.755;13.500;14.122;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.389;0.442;12.145;12.191;14.857;13.229;11.756;13.333;13.928;14.886;13.114;12.592;12.675;14.379;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.147;0.575;12.329;13.222;16.664;12.999;13.269;12.222;15.852;12.264;14.425;13.137;13.063;12.182;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;13.220;13.629;15.227;14.692;15.497;15.407;17.182;13.609;14.371;14.587;14.044;16.032;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.959;0.188;11.065;11.278;14.123;11.066;11.366;11.588;12.318;10.106;12.491;10.750;10.569;11.576;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.829;12.996;14.216;14.791;13.487;13.856;13.666;17.493;14.256;14.959;14.399;15.976;16.060;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
