20/10/2022 17:11:11 :
        Data file: C:\Users\rchen2\Documents\Black Grouse PhD\GitHub\blackgrouse-hunting\data\cleandata\Microsat.adults.noLOCUS1+13.fstat.dat
        Used loci:  Loc_1 Loc_2 Loc_3 Loc_4 Loc_5 Loc_6 Loc_8 Loc_9 Loc_10 Loc_11 Loc_12
        Detection of first generation migrants
        Likelihood ratio L_home / L_max
        Criterion: Rannala & Mountain (1997)
        Number of simulated individuals: 1000
        Simulation algorithm: Paetkau et al. (2004)
        Threshold (p-value): 0.01
        Starting computation
20/10/2022 17:11:11 - 27 individuals with a probability below 0.01
20/10/2022 17:11:13 - Computation terminated. Duration: 20804.360 s
;;;;1;2;3;4;5;6;7;8;9;10;11;12;Nb. of loci;Used loci;Missing loci
1/;1;0.000;0.805;13.784;14.991;16.349;15.054;14.491;14.855;15.445;15.105;15.854;14.207;14.581;14.763;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;11.846;12.100;12.727;12.369;12.377;12.467;12.212;14.397;13.401;12.834;11.964;11.898;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.693;0.273;11.786;12.422;13.082;12.592;11.413;11.093;12.695;12.114;11.757;11.846;12.145;13.115;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.133;0.532;11.652;12.551;13.120;11.873;11.961;11.519;12.042;12.054;12.540;12.333;11.832;12.297;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;12.806;13.503;14.998;13.177;14.644;17.404;13.971;14.813;15.133;13.589;14.018;14.428;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.084;0.573;13.713;16.998;14.727;18.951;14.381;13.629;15.497;16.407;15.288;16.790;15.240;14.359;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.798;13.257;14.858;14.389;14.563;13.938;13.972;14.518;14.130;13.579;13.875;14.154;16.129;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.801;13.741;14.534;15.761;14.261;15.213;13.928;15.276;14.216;14.850;14.492;14.694;14.861;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.796;15.548;16.136;17.837;16.088;16.044;18.219;15.609;17.348;16.754;17.258;15.928;17.045;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;13.053;14.683;13.445;16.475;13.967;14.039;14.852;15.777;15.313;15.849;14.351;13.823;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.319;0.435;15.138;16.564;16.961;16.030;16.280;14.818;17.141;18.255;16.029;16.306;16.571;15.631;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;16.328;16.960;16.469;19.000;16.432;18.061;18.577;20.774;16.696;18.588;17.181;19.257;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;13.159;16.316;17.198;16.935;17.927;16.434;18.065;16.935;17.802;17.082;15.061;17.241;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.402;0.401;13.985;14.356;16.551;14.413;14.093;14.899;16.247;15.874;15.981;15.067;13.583;14.013;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.802;16.336;19.566;17.837;19.087;18.459;17.034;19.899;18.621;17.662;17.456;18.206;19.745;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.667;0.279;14.445;14.834;13.778;15.658;14.913;14.802;15.486;15.928;15.243;15.030;15.787;14.290;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.114;0.542;12.744;15.643;14.380;15.455;12.630;13.290;13.774;13.061;14.671;14.275;13.357;13.710;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.809;12.934;15.025;14.964;14.077;13.423;13.311;14.637;14.242;14.954;14.626;13.430;14.188;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;1.094;0.137;14.170;14.069;15.168;14.807;14.376;13.601;14.300;13.825;14.489;13.934;14.412;13.076;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.087;0.559;13.211;14.394;15.114;15.780;13.124;13.474;15.034;15.393;14.479;14.848;13.864;15.146;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.664;0.277;13.467;15.634;16.186;15.312;13.789;12.803;18.651;15.292;15.101;14.086;13.640;16.438;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.799;12.220;13.446;13.833;12.631;13.218;14.117;14.319;12.880;14.929;13.392;12.368;13.517;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.800;14.152;14.799;15.401;15.140;15.186;15.070;15.329;14.153;14.313;14.700;14.915;15.424;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;1.119;0.129;12.719;12.808;13.406;12.186;11.985;12.335;12.141;11.600;12.872;12.334;12.412;12.974;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.472;0.370;14.183;14.768;14.126;14.682;13.748;15.685;13.711;14.683;14.408;16.520;14.471;14.724;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;11.947;13.897;14.323;13.784;13.761;14.340;13.555;12.887;14.126;14.285;13.631;13.028;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;1.575;0.056;17.669;17.547;19.504;16.095;20.921;19.131;19.284;18.374;18.756;18.126;16.521;20.141;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;12.580;13.652;14.735;14.412;13.400;15.674;13.345;15.053;13.528;13.891;14.418;13.582;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.798;12.385;13.222;13.333;14.865;15.055;14.846;14.604;14.998;15.178;15.465;13.525;14.534;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;12.858;13.888;14.737;14.272;13.880;14.626;13.701;13.504;13.394;13.993;13.926;13.449;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.796;12.474;14.183;15.410;14.837;13.621;14.181;14.916;14.005;13.381;15.739;14.732;13.579;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.661;0.275;13.049;13.227;14.518;13.352;12.388;15.183;13.245;14.717;13.679;13.236;14.035;13.639;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.803;12.714;13.640;14.543;13.168;13.689;14.934;13.569;13.292;13.644;12.941;13.696;13.366;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.488;0.349;12.834;12.443;13.843;13.623;12.707;12.538;15.281;12.986;13.415;12.346;12.797;14.596;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.107;0.559;15.052;17.055;15.230;14.983;15.602;14.945;16.250;15.808;15.657;15.825;16.355;16.113;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.800;12.016;13.044;15.164;12.599;13.318;13.548;13.557;13.156;14.976;13.053;13.364;13.821;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.135;0.532;11.954;13.016;11.837;11.918;11.819;12.582;13.180;12.272;12.943;12.347;11.950;12.885;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.802;14.249;15.659;16.932;16.715;17.649;16.612;18.872;17.078;16.561;16.407;16.013;17.884;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.799;11.753;13.535;13.768;13.374;12.589;12.158;13.361;14.655;13.525;13.491;12.295;13.243;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.806;12.183;13.088;13.147;12.236;14.008;14.725;13.354;12.315;13.229;12.598;13.373;13.390;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.800;12.273;12.619;13.713;13.615;13.120;12.701;13.800;14.228;12.985;13.372;13.015;13.138;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.804;12.628;14.470;14.933;13.366;13.639;13.234;14.431;13.935;14.327;14.276;13.254;14.748;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.169;0.520;12.498;12.583;12.557;12.688;12.524;12.725;12.329;12.751;13.177;12.411;12.345;12.943;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.798;12.788;14.306;17.245;13.441;13.770;13.521;15.795;14.990;15.847;13.505;13.178;14.421;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.161;0.521;14.996;15.530;15.930;14.836;16.183;16.815;15.983;15.237;15.401;14.981;16.391;15.433;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.804;12.062;13.592;13.454;13.085;13.064;13.051;13.621;13.218;13.971;13.783;13.075;12.463;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.808;11.453;12.724;13.260;11.948;13.328;13.826;12.985;12.074;12.846;12.100;12.076;12.861;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.805;15.484;17.269;20.506;17.383;15.749;17.224;19.112;20.728;17.300;18.028;17.608;15.913;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;11.431;12.281;13.938;13.193;12.057;12.158;13.400;13.375;13.449;12.352;12.392;12.744;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.425;0.388;12.840;12.415;13.732;12.912;13.090;13.057;14.551;12.692;12.539;12.733;12.664;12.540;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.808;12.252;13.547;15.492;14.908;13.878;14.133;14.259;14.764;14.341;14.356;13.934;13.668;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.774;0.245;16.161;16.696;18.230;16.700;16.666;18.481;15.387;16.745;16.722;17.564;16.608;17.176;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;12.117;12.845;13.056;13.135;12.490;15.554;13.285;14.693;13.537;13.405;13.277;13.124;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.976;0.171;11.731;11.813;12.421;10.755;12.125;12.704;12.614;11.757;12.181;11.712;11.285;13.111;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.804;12.204;13.360;14.214;14.823;15.799;15.606;15.341;14.626;15.691;15.474;13.541;14.602;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.614;0.302;13.461;13.649;14.496;14.135;12.847;13.067;14.102;14.177;13.452;13.566;13.728;13.439;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.806;12.518;13.937;14.972;14.464;13.397;13.936;14.601;15.137;15.434;14.844;12.683;13.935;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.394;0.401;14.401;15.113;16.987;15.916;14.007;14.088;15.414;15.610;15.185;15.288;14.155;15.458;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;1.564;0.059;13.232;13.045;12.626;13.920;12.635;12.858;12.477;14.901;12.406;12.836;13.644;11.668;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.405;0.397;15.484;15.080;17.451;16.821;15.894;20.856;16.519;16.269;16.287;15.798;15.612;17.912;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.800;12.637;14.357;15.009;13.314;13.451;12.964;14.441;13.046;14.132;13.581;13.103;14.930;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.257;0.479;13.451;13.677;14.278;13.194;14.662;16.772;14.930;14.676;14.115;14.405;13.851;14.801;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;1.588;0.055;17.642;16.935;19.006;17.982;17.153;16.053;16.662;18.296;16.644;18.391;17.685;17.695;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.938;0.183;12.766;12.036;13.534;12.403;11.829;12.811;12.702;12.175;13.640;11.872;12.181;13.516;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.809;15.255;17.330;18.729;16.756;17.809;17.315;17.040;16.252;16.743;16.644;16.993;18.146;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.804;13.236;13.803;14.832;13.959;14.539;16.584;13.653;15.472;15.449;13.961;13.811;13.847;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;2.191;0.019;15.368;14.588;16.303;14.895;13.178;14.649;15.977;14.967;14.028;13.958;14.315;16.564;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.806;13.208;14.846;15.133;14.045;15.573;15.957;15.872;14.062;16.171;13.828;13.300;16.129;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.613;0.300;12.576;13.004;12.928;12.609;13.320;13.865;12.663;12.902;14.160;13.222;11.964;12.842;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.804;13.470;15.725;15.393;15.243;14.848;14.073;14.704;15.406;15.079;14.947;14.635;14.353;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.467;0.369;11.827;12.451;11.360;12.436;13.331;14.448;13.252;12.928;13.350;12.624;11.813;12.854;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.806;12.500;14.651;14.917;14.662;14.589;14.676;14.515;14.567;14.692;14.520;14.282;13.813;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.803;13.017;13.205;14.264;13.769;13.376;13.943;13.567;14.769;15.335;14.315;13.944;14.207;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.802;13.622;14.608;14.649;15.068;14.393;14.921;15.353;16.792;14.908;15.418;13.756;14.919;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.801;12.965;13.566;15.325;13.286;14.112;14.504;15.177;14.544;15.614;13.844;13.123;14.706;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.079;0.572;12.997;13.036;14.066;14.185;13.804;14.112;16.084;13.103;13.730;13.688;12.918;14.365;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.803;13.117;13.817;15.803;15.072;13.398;14.657;15.100;14.118;15.733;14.486;13.885;15.402;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.930;0.182;11.364;11.386;12.059;10.433;11.300;11.428;12.010;11.259;11.637;11.169;10.514;12.351;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.003;0.612;11.564;11.967;13.277;12.234;11.561;12.624;12.253;12.501;12.984;12.312;11.566;12.589;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.797;12.433;12.893;13.176;12.798;12.958;15.931;13.158;14.365;13.064;13.146;13.596;12.840;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
