m_in,m_out,migration,migration_SE,migrationSE,pop_in,hunt_in,pop_out,hunt_out,Distance,ESS,migration_ESSc
3,10,0.0226,0.0211,NA,Lauttasuo,hunted,Saarisuo,unhunted,20.47551727,NA,0.0226
3,11,0.0954,0.0405,NA,Lauttasuo,hunted,Teerisuo,unhunted,36.28819275,NA,0.0954
3,12,0.0168,0.016,NA,Lauttasuo,hunted,Utusuo,hunted,5.207973003,NA,0.0168
4,1,0.0066,0.0063,NA,Lehtusuo,unhunted,Koskenpää,hunted,27.19093132,NA,0.0066
4,2,0.0148,0.0127,NA,Lehtusuo,unhunted,Kummunsuo,unhunted,14.41464138,NA,0.0148
4,3,0.0034,0.0033,NA,Lehtusuo,unhunted,Lauttasuo,hunted,28.32683563,NA,0.0034
4,5,0.0141,0.0212,NA,Lehtusuo,unhunted,Nyrölä,unhunted,26.89557838,NA,0.0141
4,6,0.0034,0.0034,NA,Lehtusuo,unhunted,Palosuo,hunted,21.1664505,NA,0.0034
4,7,0.0034,0.0034,NA,Lehtusuo,unhunted,Pihtissuo,hunted,25.32788086,NA,0.0034
4,8,0.0034,0.0034,NA,Lehtusuo,unhunted,Pirttilampi,unhunted,2.925186157,NA,0.0034
4,9,0.0034,0.0034,NA,Lehtusuo,unhunted,Pirttisuo,hunted,32.59440994,NA,0.0034
4,10,0.0138,0.0106,NA,Lehtusuo,unhunted,Saarisuo,unhunted,8.097327232,M,NA
4,11,0.2587,0.0319,NA,Lehtusuo,unhunted,Teerisuo,unhunted,8.642606735,M,NA
4,12,0.0036,0.0035,NA,Lehtusuo,unhunted,Utusuo,hunted,32.90653229,NA,0.0036
5,1,0.0217,0.0185,NA,Nyrölä,unhunted,Koskenpää,hunted,34.75898743,M,NA
5,2,0.0087,0.0092,NA,Nyrölä,unhunted,Kummunsuo,unhunted,36.38364029,M,NA
5,3,0.0026,0.0025,NA,Nyrölä,unhunted,Lauttasuo,hunted,36.62529755,NA,0.0026
5,4,0.0048,0.0048,NA,Nyrölä,unhunted,Lehtusuo,unhunted,26.89557838,NA,0.0048
5,6,0.0026,0.0026,NA,Nyrölä,unhunted,Palosuo,hunted,11.61715889,NA,0.0026
5,7,0.0025,0.0025,NA,Nyrölä,unhunted,Pihtissuo,hunted,35.01580048,NA,0.0025
5,8,0.0026,0.0026,NA,Nyrölä,unhunted,Pirttilampi,unhunted,24.91984177,NA,0.0026
5,9,0.0026,0.0025,NA,Nyrölä,unhunted,Pirttisuo,hunted,34.341465,NA,0.0026
5,10,0.0063,0.006,NA,Nyrölä,unhunted,Saarisuo,unhunted,25.4468441,L,NA
5,11,0.2656,0.0361,NA,Nyrölä,unhunted,Teerisuo,unhunted,25.40873909,L,NA
5,12,0.0028,0.0028,NA,Nyrölä,unhunted,Utusuo,hunted,41.65737534,NA,0.0028
6,1,0.0138,0.0128,NA,Palosuo,hunted,Koskenpää,hunted,38.39597321,NA,0.0138
6,2,0.0362,0.0253,NA,Palosuo,hunted,Kummunsuo,unhunted,26.81861305,M,NA
6,3,0.0098,0.0096,NA,Palosuo,hunted,Lauttasuo,hunted,25.01182556,NA,0.0098
6,4,0.0137,0.0141,NA,Palosuo,hunted,Lehtusuo,unhunted,21.1664505,NA,0.0137
6,5,0.0288,0.0232,NA,Palosuo,hunted,Nyrölä,unhunted,11.61715889,NA,0.0288
6,7,0.0099,0.0096,NA,Palosuo,hunted,Pihtissuo,hunted,23.4215126,NA,0.0099
6,8,0.0099,0.0096,NA,Palosuo,hunted,Pirttilampi,unhunted,18.45943642,NA,0.0099
6,9,0.0099,0.0097,NA,Palosuo,hunted,Pirttisuo,hunted,23.23873711,NA,0.0099
6,10,0.013,0.0126,NA,Palosuo,hunted,Saarisuo,unhunted,16.67561531,NA,0.013
6,11,0.1687,0.038,NA,Palosuo,hunted,Teerisuo,unhunted,23.59171867,NA,0.1687
6,12,0.0099,0.0096,NA,Palosuo,hunted,Utusuo,hunted,30.06472778,NA,0.0099
7,1,0.016,0.0153,NA,Pihtissuo,hunted,Koskenpää,hunted,52.01675797,NA,0.016
7,2,0.0272,0.0218,NA,Pihtissuo,hunted,Kummunsuo,unhunted,16.14179993,NA,0.0272
7,3,0.0153,0.0146,NA,Pihtissuo,hunted,Lauttasuo,hunted,3.043021917,NA,0.0153
7,4,0.0203,0.0192,NA,Pihtissuo,hunted,Lehtusuo,unhunted,25.32788086,NA,0.0203
7,5,0.0475,0.0294,NA,Pihtissuo,hunted,Nyrölä,unhunted,35.01580048,NA,0.0475
7,6,0.0152,0.0145,NA,Pihtissuo,hunted,Palosuo,hunted,23.4215126,NA,0.0152
7,8,0.0152,0.0144,NA,Pihtissuo,hunted,Pirttilampi,unhunted,23.12737656,NA,0.0152
7,9,0.0151,0.0143,NA,Pihtissuo,hunted,Pirttisuo,hunted,10.22742653,NA,0.0151
7,10,0.0219,0.0208,NA,Pihtissuo,hunted,Saarisuo,unhunted,17.53744507,NA,0.0219
7,11,0.1092,0.0413,NA,Pihtissuo,hunted,Teerisuo,unhunted,33.36176682,NA,0.1092
7,12,0.0153,0.0146,NA,Pihtissuo,hunted,Utusuo,hunted,7.78695488,NA,0.0153
8,1,0.0222,0.0164,NA,Pirttilampi,unhunted,Koskenpää,hunted,28.97387505,NA,0.0222
8,2,0.0335,0.0252,NA,Pirttilampi,unhunted,Kummunsuo,unhunted,13.95952129,M,NA
8,3,0.0104,0.0101,NA,Pirttilampi,unhunted,Lauttasuo,hunted,26.07989502,NA,0.0104
8,4,0.0128,0.0122,NA,Pirttilampi,unhunted,Lehtusuo,unhunted,2.925186157,NA,0.0128
8,5,0.0231,0.0248,NA,Pirttilampi,unhunted,Nyrölä,unhunted,24.91984177,M,NA
8,6,0.0104,0.0101,NA,Pirttilampi,unhunted,Palosuo,hunted,18.45943642,NA,0.0104
8,7,0.0104,0.0101,NA,Pirttilampi,unhunted,Pihtissuo,hunted,23.12737656,NA,0.0104
8,9,0.0104,0.01,NA,Pirttilampi,unhunted,Pirttisuo,hunted,29.95933533,NA,0.0104
8,10,0.0168,0.0152,NA,Pirttilampi,unhunted,Saarisuo,unhunted,5.612859726,NA,0.0168
8,11,0.1625,0.0444,NA,Pirttilampi,unhunted,Teerisuo,unhunted,10.26827717,NA,0.1625
8,12,0.0104,0.0099,NA,Pirttilampi,unhunted,Utusuo,hunted,30.81456947,NA,0.0104
9,1,0.0133,0.0129,NA,Pirttisuo,hunted,Koskenpää,hunted,57.73055649,NA,0.0133
9,2,0.071,0.0347,NA,Pirttisuo,hunted,Kummunsuo,unhunted,25.97027969,L,NA
9,3,0.0119,0.0115,NA,Pirttisuo,hunted,Lauttasuo,hunted,8.224047661,NA,0.0119
9,4,0.0137,0.0133,NA,Pirttisuo,hunted,Lehtusuo,unhunted,32.59440994,NA,0.0137
9,5,0.0196,0.0212,NA,Pirttisuo,hunted,Nyrölä,unhunted,34.341465,NA,0.0196
9,6,0.0119,0.0115,NA,Pirttisuo,hunted,Palosuo,hunted,23.23873711,NA,0.0119
9,7,0.0119,0.0115,NA,Pirttisuo,hunted,Pihtissuo,hunted,10.22742653,NA,0.0119
9,8,0.0119,0.0115,NA,Pirttisuo,hunted,Pirttilampi,unhunted,29.95933533,NA,0.0119
9,10,0.0143,0.0135,NA,Pirttisuo,hunted,Saarisuo,unhunted,24.49982262,NA,0.0143
9,11,0.1299,0.0436,NA,Pirttisuo,hunted,Teerisuo,unhunted,39.6557045,L,NA
9,12,0.0119,0.0115,NA,Pirttisuo,hunted,Utusuo,hunted,10.21783543,NA,0.0119
10,1,0.0122,0.0091,NA,Saarisuo,unhunted,Koskenpää,hunted,34.49900818,M,NA
10,2,0.0239,0.0289,NA,Saarisuo,unhunted,Kummunsuo,unhunted,11.01459217,M,NA
10,3,0.0042,0.0041,NA,Saarisuo,unhunted,Lauttasuo,hunted,20.47551727,NA,0.0042
10,4,0.0106,0.0094,NA,Saarisuo,unhunted,Lehtusuo,unhunted,8.097327232,NA,0.0106
10,5,0.0146,0.0216,NA,Saarisuo,unhunted,Nyrölä,unhunted,25.4468441,M,NA
10,6,0.0043,0.0042,NA,Saarisuo,unhunted,Palosuo,hunted,16.67561531,NA,0.0043
10,7,0.0042,0.0041,NA,Saarisuo,unhunted,Pihtissuo,hunted,17.53744507,NA,0.0042
10,8,0.0042,0.0042,NA,Saarisuo,unhunted,Pirttilampi,unhunted,5.612859726,NA,0.0042
10,9,0.0042,0.0041,NA,Saarisuo,unhunted,Pirttisuo,hunted,24.49982262,NA,0.0042
10,11,0.2391,0.0464,NA,Saarisuo,unhunted,Teerisuo,unhunted,15.82475471,M,NA
10,12,0.0052,0.005,NA,Saarisuo,unhunted,Utusuo,hunted,25.25541306,NA,0.0052
11,1,0.0304,0.0164,NA,Teerisuo,unhunted,Koskenpää,hunted,18.70789719,L,NA
11,2,0.0319,0.0238,NA,Teerisuo,unhunted,Kummunsuo,unhunted,22.95269775,L,NA
11,3,0.0025,0.0024,NA,Teerisuo,unhunted,Lauttasuo,hunted,36.28819275,NA,0.0025
11,4,0.0164,0.0123,NA,Teerisuo,unhunted,Lehtusuo,unhunted,8.642606735,L,NA
11,5,0.022,0.0276,NA,Teerisuo,unhunted,Nyrölä,unhunted,25.40873909,L,NA
11,6,0.0025,0.0025,NA,Teerisuo,unhunted,Palosuo,hunted,23.59171867,NA,0.0025
11,7,0.0024,0.0024,NA,Teerisuo,unhunted,Pihtissuo,hunted,33.36176682,NA,0.0024
11,8,0.0026,0.0026,NA,Teerisuo,unhunted,Pirttilampi,unhunted,10.26827717,NA,0.0026
11,9,0.0024,0.0024,NA,Teerisuo,unhunted,Pirttisuo,hunted,39.6557045,NA,0.0024
11,10,0.0144,0.0118,NA,Teerisuo,unhunted,Saarisuo,unhunted,15.82475471,L,NA
11,12,0.0027,0.0028,NA,Teerisuo,unhunted,Utusuo,hunted,41.07279587,NA,0.0027
12,1,0.0241,0.0194,NA,Utusuo,hunted,Koskenpää,hunted,59.75382614,L,NA
12,2,0.0301,0.0228,NA,Utusuo,hunted,Kummunsuo,unhunted,22.19110107,M,NA
12,3,0.0085,0.0083,NA,Utusuo,hunted,Lauttasuo,hunted,5.207973003,NA,0.0085
12,4,0.0122,0.0118,NA,Utusuo,hunted,Lehtusuo,unhunted,32.90653229,NA,0.0122
12,5,0.0314,0.0274,NA,Utusuo,hunted,Nyrölä,unhunted,41.65737534,NA,0.0314
12,6,0.0086,0.0083,NA,Utusuo,hunted,Palosuo,hunted,30.06472778,NA,0.0086
12,7,0.0086,0.0083,NA,Utusuo,hunted,Pihtissuo,hunted,7.78695488,NA,0.0086
12,8,0.0086,0.0083,NA,Utusuo,hunted,Pirttilampi,unhunted,30.81456947,NA,0.0086
12,9,0.0085,0.0083,NA,Utusuo,hunted,Pirttisuo,hunted,10.21783543,NA,0.0085
12,10,0.0121,0.0115,NA,Utusuo,hunted,Saarisuo,unhunted,25.25541306,NA,0.0121
12,11,0.1716,0.0443,NA,Utusuo,hunted,Teerisuo,unhunted,41.07279587,NA,0.1716
