m_in,m_out,migration,migration_SE,ESS,migration_ESSc,pop_in,hunt_in,pop_out,hunt_out,Distance
3,3,0.6836,0.0158,8517.4,0.6836,Lauttasuo,hunted,Lauttasuo,hunted,NA
3,4,0.023,0.0218,78.6,NA,Lauttasuo,hunted,Lehtusuo,unhunted,28.3268356323242
3,5,0.0356,0.025,1122.9,0.0356,Lauttasuo,hunted,Nyrölä,unhunted,36.6252975463867
3,6,0.0167,0.0158,7582.9,0.0167,Lauttasuo,hunted,Palosuo,hunted,25.0118255615234
3,7,0.017,0.0161,7484.7,0.017,Lauttasuo,hunted,Pihtissuo,hunted,3.04302191734314
3,8,0.0166,0.0157,8353.4,0.0166,Lauttasuo,hunted,Pirttilampi,unhunted,26.0798950195312
3,9,0.0165,0.0159,7475.1,0.0165,Lauttasuo,hunted,Pirttisuo,hunted,8.22404766082764
3,10,0.023,0.0225,55.1,NA,Lauttasuo,hunted,Saarisuo,unhunted,20.4755172729492
3,11,0.0866,0.0438,14.5,NA,Lauttasuo,hunted,Teerisuo,unhunted,36.2881927490234
3,12,0.0165,0.0158,7990.3,0.0165,Lauttasuo,hunted,Utusuo,hunted,5.20797300338745
4,1,0.0082,0.0091,48.3,NA,Lehtusuo,unhunted,Koskenpää,hunted,27.1909313201904
4,2,0.0213,0.022,8,NA,Lehtusuo,unhunted,Kummunsuo,unhunted,14.4146413803101
4,3,0.0033,0.0032,3267.7,0.0033,Lehtusuo,unhunted,Lauttasuo,hunted,28.3268356323242
4,4,0.6723,0.0062,34.2,NA,Lehtusuo,unhunted,Lehtusuo,unhunted,NA
4,5,0.0103,0.01,102,NA,Lehtusuo,unhunted,Nyrölä,unhunted,26.8955783843994
4,6,0.0034,0.0034,2690.5,0.0034,Lehtusuo,unhunted,Palosuo,hunted,21.1664505004883
4,7,0.0034,0.0033,3082.2,0.0034,Lehtusuo,unhunted,Pihtissuo,hunted,25.327880859375
4,8,0.0033,0.0033,2772.8,0.0033,Lehtusuo,unhunted,Pirttilampi,unhunted,2.92518615722656
4,9,0.0034,0.0034,2780.7,0.0034,Lehtusuo,unhunted,Pirttisuo,hunted,32.594409942627
4,10,0.0093,0.0085,13.2,NA,Lehtusuo,unhunted,Saarisuo,unhunted,8.09732723236084
4,11,0.2584,0.0339,7.4,NA,Lehtusuo,unhunted,Teerisuo,unhunted,8.64260673522949
4,12,0.0036,0.0035,2372.7,0.0036,Lehtusuo,unhunted,Utusuo,hunted,32.9065322875977
5,1,0.0202,0.0199,10.1,NA,Nyrölä,unhunted,Koskenpää,hunted,34.7589874267578
5,2,0.0095,0.0096,21.3,NA,Nyrölä,unhunted,Kummunsuo,unhunted,36.3836402893066
5,3,0.0025,0.0025,4445.3,0.0025,Nyrölä,unhunted,Lauttasuo,hunted,36.6252975463867
5,4,0.0071,0.0078,17.2,NA,Nyrölä,unhunted,Lehtusuo,unhunted,26.8955783843994
5,5,0.6724,0.0056,246.1,0.6724,Nyrölä,unhunted,Nyrölä,unhunted,NA
5,6,0.0026,0.0026,3360.4,0.0026,Nyrölä,unhunted,Palosuo,hunted,11.6171588897705
5,7,0.0026,0.0025,2709.9,0.0026,Nyrölä,unhunted,Pihtissuo,hunted,35.0158004760742
5,8,0.0025,0.0025,3971.7,0.0025,Nyrölä,unhunted,Pirttilampi,unhunted,24.9198417663574
5,9,0.0026,0.0025,3121.8,0.0026,Nyrölä,unhunted,Pirttisuo,hunted,34.3414649963379
5,10,0.0055,0.0052,57.3,NA,Nyrölä,unhunted,Saarisuo,unhunted,25.4468441009521
5,11,0.2696,0.029,7,NA,Nyrölä,unhunted,Teerisuo,unhunted,25.4087390899658
5,12,0.0029,0.0029,1822.3,0.0029,Nyrölä,unhunted,Utusuo,hunted,41.6573753356934
6,1,0.0142,0.0132,365.3,0.0142,Palosuo,hunted,Koskenpää,hunted,38.3959732055664
6,2,0.0386,0.0292,10.5,NA,Palosuo,hunted,Kummunsuo,unhunted,26.8186130523682
6,3,0.0097,0.0094,4723.5,0.0097,Palosuo,hunted,Lauttasuo,hunted,25.0118255615234
6,4,0.0238,0.0192,26.7,NA,Palosuo,hunted,Lehtusuo,unhunted,21.1664505004883
6,5,0.0275,0.0211,70.6,NA,Palosuo,hunted,Nyrölä,unhunted,11.6171588897705
6,6,0.6766,0.0097,5676.6,0.6766,Palosuo,hunted,Palosuo,hunted,NA
6,7,0.0097,0.0093,6954,0.0097,Palosuo,hunted,Pihtissuo,hunted,23.4215126037598
6,8,0.0097,0.0094,6093.2,0.0097,Palosuo,hunted,Pirttilampi,unhunted,18.459436416626
6,9,0.0097,0.0093,5825.9,0.0097,Palosuo,hunted,Pirttisuo,hunted,23.2387371063232
6,10,0.0109,0.0114,306.4,0.0109,Palosuo,hunted,Saarisuo,unhunted,16.6756153106689
6,11,0.1599,0.0441,10.8,NA,Palosuo,hunted,Teerisuo,unhunted,23.5917186737061
6,12,0.0097,0.0094,4978.1,0.0097,Palosuo,hunted,Utusuo,hunted,30.0647277832031
7,1,0.0173,0.0166,6062.3,0.0173,Pihtissuo,hunted,Koskenpää,hunted,52.0167579650879
7,2,0.0271,0.0228,290.3,0.0271,Pihtissuo,hunted,Kummunsuo,unhunted,16.1417999267578
7,3,0.0156,0.0148,7126.5,0.0156,Pihtissuo,hunted,Lauttasuo,hunted,3.04302191734314
7,4,0.0435,0.0313,21.6,NA,Pihtissuo,hunted,Lehtusuo,unhunted,25.327880859375
7,5,0.0564,0.0311,114.8,NA,Pihtissuo,hunted,Nyrölä,unhunted,35.0158004760742
7,6,0.0155,0.0147,8343.9,0.0155,Pihtissuo,hunted,Palosuo,hunted,23.4215126037598
7,7,0.6826,0.0152,7963.7,0.6826,Pihtissuo,hunted,Pihtissuo,hunted,NA
7,8,0.0158,0.015,7691.1,0.0158,Pihtissuo,hunted,Pirttilampi,unhunted,23.1273765563965
7,9,0.0156,0.015,7883.5,0.0156,Pihtissuo,hunted,Pirttisuo,hunted,10.2274265289307
7,10,0.0211,0.0195,67.9,NA,Pihtissuo,hunted,Saarisuo,unhunted,17.5374450683594
7,11,0.0735,0.0433,12,NA,Pihtissuo,hunted,Teerisuo,unhunted,33.3617668151855
7,12,0.0159,0.0153,7657.9,0.0159,Pihtissuo,hunted,Utusuo,hunted,7.78695487976074
8,1,0.0242,0.018,41.4,NA,Pirttilampi,unhunted,Koskenpää,hunted,28.9738750457764
8,2,0.0366,0.0355,12.2,NA,Pirttilampi,unhunted,Kummunsuo,unhunted,13.9595212936401
8,3,0.0106,0.0102,6111,0.0106,Pirttilampi,unhunted,Lauttasuo,hunted,26.0798950195312
8,4,0.0192,0.0203,14.9,NA,Pirttilampi,unhunted,Lehtusuo,unhunted,2.92518615722656
8,5,0.0255,0.022,45.3,NA,Pirttilampi,unhunted,Nyrölä,unhunted,24.9198417663574
8,6,0.0106,0.0101,4624,0.0106,Pirttilampi,unhunted,Palosuo,hunted,18.459436416626
8,7,0.0104,0.0102,5807.3,0.0104,Pirttilampi,unhunted,Pihtissuo,hunted,23.1273765563965
8,8,0.6773,0.0103,6341.7,0.6773,Pirttilampi,unhunted,Pirttilampi,unhunted,NA
8,9,0.0104,0.0101,5515.5,0.0104,Pirttilampi,unhunted,Pirttisuo,hunted,29.9593353271484
8,10,0.0154,0.0139,45.5,NA,Pirttilampi,unhunted,Saarisuo,unhunted,5.61285972595215
8,11,0.1495,0.0528,8.6,NA,Pirttilampi,unhunted,Teerisuo,unhunted,10.2682771682739
8,12,0.0104,0.0102,6863,0.0104,Pirttilampi,unhunted,Utusuo,hunted,30.8145694732666
9,1,0.0141,0.0134,556,0.0141,Pirttisuo,hunted,Koskenpää,hunted,57.7305564880371
9,2,0.0693,0.0415,11.1,NA,Pirttisuo,hunted,Kummunsuo,unhunted,25.9702796936035
9,3,0.012,0.0115,5586.4,0.012,Pirttisuo,hunted,Lauttasuo,hunted,8.22404766082764
9,4,0.0195,0.0185,25.7,NA,Pirttisuo,hunted,Lehtusuo,unhunted,32.594409942627
9,5,0.0183,0.0163,190.6,NA,Pirttisuo,hunted,Nyrölä,unhunted,34.3414649963379
9,6,0.0122,0.0118,6057,0.0122,Pirttisuo,hunted,Palosuo,hunted,23.2387371063232
9,7,0.0121,0.0116,6132.2,0.0121,Pirttisuo,hunted,Pihtissuo,hunted,10.2274265289307
9,8,0.0119,0.0115,6757,0.0119,Pirttisuo,hunted,Pirttilampi,unhunted,29.9593353271484
9,9,0.6786,0.0115,8039.6,0.6786,Pirttisuo,hunted,Pirttisuo,hunted,NA
9,10,0.0149,0.0151,111.5,NA,Pirttisuo,hunted,Saarisuo,unhunted,24.4998226165771
9,11,0.125,0.0506,6.8,NA,Pirttisuo,hunted,Teerisuo,unhunted,39.655704498291
9,12,0.0121,0.0115,6665.3,0.0121,Pirttisuo,hunted,Utusuo,hunted,10.2178354263306
10,1,0.0127,0.0095,66.6,NA,Saarisuo,unhunted,Koskenpää,hunted,34.4990081787109
10,2,0.0264,0.0238,13.7,NA,Saarisuo,unhunted,Kummunsuo,unhunted,11.0145921707153
10,3,0.0044,0.0043,5095.5,0.0044,Saarisuo,unhunted,Lauttasuo,hunted,20.4755172729492
10,4,0.0252,0.0222,6.5,NA,Saarisuo,unhunted,Lehtusuo,unhunted,8.09732723236084
10,5,0.0115,0.0104,107.1,NA,Saarisuo,unhunted,Nyrölä,unhunted,25.4468441009521
10,6,0.0044,0.0043,2601.6,0.0044,Saarisuo,unhunted,Palosuo,hunted,16.6756153106689
10,7,0.0045,0.0044,3571.2,0.0045,Saarisuo,unhunted,Pihtissuo,hunted,17.5374450683594
10,8,0.0045,0.0044,3207.6,0.0045,Saarisuo,unhunted,Pirttilampi,unhunted,5.61285972595215
10,9,0.0044,0.0044,3476.6,0.0044,Saarisuo,unhunted,Pirttisuo,hunted,24.4998226165771
10,10,0.6728,0.0062,189.2,NA,Saarisuo,unhunted,Saarisuo,unhunted,NA
10,11,0.2239,0.0402,5.8,NA,Saarisuo,unhunted,Teerisuo,unhunted,15.8247547149658
10,12,0.0053,0.0052,462.4,0.0053,Saarisuo,unhunted,Utusuo,hunted,25.2554130554199
11,1,0.0273,0.0179,14.3,NA,Teerisuo,unhunted,Koskenpää,hunted,18.7078971862793
11,2,0.0363,0.0315,7.7,NA,Teerisuo,unhunted,Kummunsuo,unhunted,22.9526977539062
11,3,0.0025,0.0026,518.1,0.0025,Teerisuo,unhunted,Lauttasuo,hunted,36.2881927490234
11,4,0.026,0.0151,20.4,NA,Teerisuo,unhunted,Lehtusuo,unhunted,8.64260673522949
11,5,0.0164,0.0124,44.6,NA,Teerisuo,unhunted,Nyrölä,unhunted,25.4087390899658
11,6,0.0025,0.0026,400.7,0.0025,Teerisuo,unhunted,Palosuo,hunted,23.5917186737061
11,7,0.0026,0.0025,475.9,0.0026,Teerisuo,unhunted,Pihtissuo,hunted,33.3617668151855
11,8,0.0024,0.0025,329.5,0.0024,Teerisuo,unhunted,Pirttilampi,unhunted,10.2682771682739
11,9,0.0025,0.0025,344.9,0.0025,Teerisuo,unhunted,Pirttisuo,hunted,39.655704498291
11,10,0.0091,0.0083,11.5,NA,Teerisuo,unhunted,Saarisuo,unhunted,15.8247547149658
11,11,0.8696,0.0403,6.8,NA,Teerisuo,unhunted,Teerisuo,unhunted,NA
11,12,0.0027,0.0028,535.5,0.0027,Teerisuo,unhunted,Utusuo,hunted,41.0727958679199
12,1,0.0185,0.0173,26.5,NA,Utusuo,hunted,Koskenpää,hunted,59.7538261413574
12,2,0.0395,0.0308,13.7,NA,Utusuo,hunted,Kummunsuo,unhunted,22.1911010742188
12,3,0.009,0.0087,6904.2,0.009,Utusuo,hunted,Lauttasuo,hunted,5.20797300338745
12,4,0.0202,0.0187,21.3,NA,Utusuo,hunted,Lehtusuo,unhunted,32.9065322875977
12,5,0.0463,0.0335,17.4,NA,Utusuo,hunted,Nyrölä,unhunted,41.6573753356934
12,6,0.0088,0.0087,5244.1,0.0088,Utusuo,hunted,Palosuo,hunted,30.0647277832031
12,7,0.0087,0.0085,4950.9,0.0087,Utusuo,hunted,Pihtissuo,hunted,7.78695487976074
12,8,0.0087,0.0085,6267.9,0.0087,Utusuo,hunted,Pirttilampi,unhunted,30.8145694732666
12,9,0.0089,0.0088,5213.9,0.0089,Utusuo,hunted,Pirttisuo,hunted,10.2178354263306
12,10,0.0121,0.0116,364.9,0.0121,Utusuo,hunted,Saarisuo,unhunted,25.2554130554199
12,11,0.1436,0.0527,6.6,NA,Utusuo,hunted,Teerisuo,unhunted,41.0727958679199
12,12,0.6756,0.0086,4092.9,0.6756,Utusuo,hunted,Utusuo,hunted,NA
