m_in,m_out,migration,migration_SE,ESS,migration_ESSc,pop_in,hunt_in,pop_out,hunt_out,Distance
2,12,0.0022,0.0022,4390.9,0.0022,Kummunsuo,unhunted,Utusuo,hunted,22.1911010742188
3,1,0.0093,0.0087,668.6,0.0093,Lauttasuo,hunted,Koskenpää,hunted,54.9102668762207
3,2,0.0096,0.0095,334.7,0.0096,Lauttasuo,hunted,Kummunsuo,unhunted,19.0048809051514
3,3,0.6735,0.0068,5662.5,0.6735,Lauttasuo,hunted,Lauttasuo,hunted,NA
3,4,0.1136,0.0486,4.6,NA,Lauttasuo,hunted,Lehtusuo,unhunted,28.3268356323242
3,5,0.1063,0.0474,6.1,NA,Lauttasuo,hunted,Nyrölä,unhunted,36.6252975463867
3,6,0.0067,0.0066,7818.5,0.0067,Lauttasuo,hunted,Palosuo,hunted,25.0118255615234
3,7,0.0072,0.0072,3786.7,0.0072,Lauttasuo,hunted,Pihtissuo,hunted,3.04302191734314
3,8,0.0067,0.0066,7006.6,0.0067,Lauttasuo,hunted,Pirttilampi,unhunted,26.0798950195312
3,9,0.0142,0.0124,76.2,NA,Lauttasuo,hunted,Pirttisuo,hunted,8.22404766082764
3,10,0.0215,0.017,34.2,NA,Lauttasuo,hunted,Saarisuo,unhunted,20.4755172729492
3,11,0.0246,0.024,8.2,NA,Lauttasuo,hunted,Teerisuo,unhunted,36.2881927490234
3,12,0.0068,0.0066,6936.2,0.0068,Lauttasuo,hunted,Utusuo,hunted,5.20797300338745
4,1,0.0043,0.0043,1889,0.0043,Lehtusuo,unhunted,Koskenpää,hunted,27.1909313201904
4,2,0.0093,0.008,55.1,NA,Lehtusuo,unhunted,Kummunsuo,unhunted,14.4146413803101
4,3,0.0029,0.0029,3984.7,0.0029,Lehtusuo,unhunted,Lauttasuo,hunted,28.3268356323242
4,4,0.6818,0.0157,40.2,NA,Lehtusuo,unhunted,Lehtusuo,unhunted,NA
4,5,0.1048,0.0485,4.2,NA,Lehtusuo,unhunted,Nyrölä,unhunted,26.8955783843994
4,6,0.003,0.003,3183.9,0.003,Lehtusuo,unhunted,Palosuo,hunted,21.1664505004883
4,7,0.003,0.003,4037.7,0.003,Lehtusuo,unhunted,Pihtissuo,hunted,25.327880859375
4,8,0.0028,0.0028,4805.5,0.0028,Lehtusuo,unhunted,Pirttilampi,unhunted,2.92518615722656
4,9,0.0038,0.0037,939.1,0.0038,Lehtusuo,unhunted,Pirttisuo,hunted,32.594409942627
4,10,0.017,0.0135,12.7,NA,Lehtusuo,unhunted,Saarisuo,unhunted,8.09732723236084
4,11,0.1643,0.0494,4.2,NA,Lehtusuo,unhunted,Teerisuo,unhunted,8.64260673522949
4,12,0.0029,0.0029,5562.6,0.0029,Lehtusuo,unhunted,Utusuo,hunted,32.9065322875977
5,1,0.0042,0.0044,122,NA,Nyrölä,unhunted,Koskenpää,hunted,34.7589874267578
5,2,0.0098,0.0076,22.9,NA,Nyrölä,unhunted,Kummunsuo,unhunted,36.3836402893066
5,3,0.0024,0.0023,796.2,0.0024,Nyrölä,unhunted,Lauttasuo,hunted,36.6252975463867
5,4,0.0242,0.0148,20.6,NA,Nyrölä,unhunted,Lehtusuo,unhunted,26.8955783843994
5,5,0.9242,0.027,10,NA,Nyrölä,unhunted,Nyrölä,unhunted,NA
5,6,0.0023,0.0024,1069.2,0.0023,Nyrölä,unhunted,Palosuo,hunted,11.6171588897705
5,7,0.0022,0.0022,1589,0.0022,Nyrölä,unhunted,Pihtissuo,hunted,35.0158004760742
5,8,0.002,0.0019,2054.9,0.002,Nyrölä,unhunted,Pirttilampi,unhunted,24.9198417663574
5,9,0.0085,0.0064,43.3,NA,Nyrölä,unhunted,Pirttisuo,hunted,34.3414649963379
5,10,0.0051,0.0055,37.2,NA,Nyrölä,unhunted,Saarisuo,unhunted,25.4468441009521
5,11,0.0131,0.0171,7.2,NA,Nyrölä,unhunted,Teerisuo,unhunted,25.4087390899658
5,12,0.002,0.002,1311.8,0.002,Nyrölä,unhunted,Utusuo,hunted,41.6573753356934
6,1,0.0127,0.0109,334.5,0.0127,Palosuo,hunted,Koskenpää,hunted,38.3959732055664
6,2,0.0136,0.0126,163.9,NA,Palosuo,hunted,Kummunsuo,unhunted,26.8186130523682
6,3,0.007,0.0067,7123.4,0.007,Palosuo,hunted,Lauttasuo,hunted,25.0118255615234
6,4,0.0243,0.0206,22.2,NA,Palosuo,hunted,Lehtusuo,unhunted,21.1664505004883
6,5,0.1742,0.0386,12.1,NA,Palosuo,hunted,Nyrölä,unhunted,11.6171588897705
6,6,0.6736,0.0068,7793.5,0.6736,Palosuo,hunted,Palosuo,hunted,NA
6,7,0.0069,0.0067,6209.1,0.0069,Palosuo,hunted,Pihtissuo,hunted,23.4215126037598
6,8,0.007,0.0067,6450.4,0.007,Palosuo,hunted,Pirttilampi,unhunted,18.459436416626
6,9,0.0387,0.0192,110.8,NA,Palosuo,hunted,Pirttisuo,hunted,23.2387371063232
6,10,0.0098,0.0094,275.8,0.0098,Palosuo,hunted,Saarisuo,unhunted,16.6756153106689
6,11,0.0255,0.0247,10.8,NA,Palosuo,hunted,Teerisuo,unhunted,23.5917186737061
6,12,0.0068,0.0068,6800.1,0.0068,Palosuo,hunted,Utusuo,hunted,30.0647277832031
7,1,0.009,0.0082,277.3,0.009,Pihtissuo,hunted,Koskenpää,hunted,52.0167579650879
7,2,0.0189,0.0156,23.6,NA,Pihtissuo,hunted,Kummunsuo,unhunted,16.1417999267578
7,3,0.0054,0.0053,4571.3,0.0054,Pihtissuo,hunted,Lauttasuo,hunted,3.04302191734314
7,4,0.1196,0.0492,7,NA,Pihtissuo,hunted,Lehtusuo,unhunted,25.327880859375
7,5,0.1249,0.0508,7.8,NA,Pihtissuo,hunted,Nyrölä,unhunted,35.0158004760742
7,6,0.0055,0.0053,1710,0.0055,Pihtissuo,hunted,Palosuo,hunted,23.4215126037598
7,7,0.6721,0.0054,5674.6,0.6721,Pihtissuo,hunted,Pihtissuo,hunted,NA
7,8,0.0053,0.0053,3810.3,0.0053,Pihtissuo,hunted,Pirttilampi,unhunted,23.1273765563965
7,9,0.0085,0.0082,134,NA,Pihtissuo,hunted,Pirttisuo,hunted,10.2274265289307
7,10,0.0065,0.0065,881.5,0.0065,Pihtissuo,hunted,Saarisuo,unhunted,17.5374450683594
7,11,0.019,0.0165,11.7,NA,Pihtissuo,hunted,Teerisuo,unhunted,33.3617668151855
7,12,0.0053,0.0051,5645.2,0.0053,Pihtissuo,hunted,Utusuo,hunted,7.78695487976074
8,1,0.0111,0.0109,4480.6,0.0111,Pirttilampi,unhunted,Koskenpää,hunted,28.9738750457764
8,2,0.0121,0.0117,697.2,0.0121,Pirttilampi,unhunted,Kummunsuo,unhunted,13.9595212936401
8,3,0.0103,0.01,7176.4,0.0103,Pirttilampi,unhunted,Lauttasuo,hunted,26.0798950195312
8,4,0.0631,0.0322,23.1,NA,Pirttilampi,unhunted,Lehtusuo,unhunted,2.92518615722656
8,5,0.0598,0.0404,7.5,NA,Pirttilampi,unhunted,Nyrölä,unhunted,24.9198417663574
8,6,0.0105,0.0103,7359.1,0.0105,Pirttilampi,unhunted,Palosuo,hunted,18.459436416626
8,7,0.0105,0.0102,7630.5,0.0105,Pirttilampi,unhunted,Pihtissuo,hunted,23.1273765563965
8,8,0.6771,0.0101,7911.1,0.6771,Pirttilampi,unhunted,Pirttilampi,unhunted,NA
8,9,0.0106,0.0103,7828.2,0.0106,Pirttilampi,unhunted,Pirttisuo,hunted,29.9593353271484
8,10,0.0229,0.0186,60.5,NA,Pirttilampi,unhunted,Saarisuo,unhunted,5.61285972595215
8,11,0.1016,0.0459,6.1,NA,Pirttilampi,unhunted,Teerisuo,unhunted,10.2682771682739
8,12,0.0104,0.0102,7307.3,0.0104,Pirttilampi,unhunted,Utusuo,hunted,30.8145694732666
9,1,0.0066,0.0068,309.4,0.0066,Pirttisuo,hunted,Koskenpää,hunted,57.7305564880371
9,2,0.0376,0.0215,46.5,NA,Pirttisuo,hunted,Kummunsuo,unhunted,25.9702796936035
9,3,0.0045,0.0044,889.5,0.0045,Pirttisuo,hunted,Lauttasuo,hunted,8.22404766082764
9,4,0.0834,0.0436,9.2,NA,Pirttisuo,hunted,Lehtusuo,unhunted,32.594409942627
9,5,0.1372,0.0391,13.5,NA,Pirttisuo,hunted,Nyrölä,unhunted,34.3414649963379
9,6,0.0044,0.0043,2413.7,0.0044,Pirttisuo,hunted,Palosuo,hunted,23.2387371063232
9,7,0.0046,0.0046,1427.2,0.0046,Pirttisuo,hunted,Pihtissuo,hunted,10.2274265289307
9,8,0.004,0.0039,5960.2,0.004,Pirttisuo,hunted,Pirttilampi,unhunted,29.9593353271484
9,9,0.6793,0.0107,69.4,NA,Pirttisuo,hunted,Pirttisuo,hunted,NA
9,10,0.0099,0.0093,80.7,NA,Pirttisuo,hunted,Saarisuo,unhunted,24.4998226165771
9,11,0.0247,0.0198,11.7,NA,Pirttisuo,hunted,Teerisuo,unhunted,39.655704498291
9,12,0.0039,0.0038,4932.4,0.0039,Pirttisuo,hunted,Utusuo,hunted,10.2178354263306
10,1,0.0056,0.0056,325.9,0.0056,Saarisuo,unhunted,Koskenpää,hunted,34.4990081787109
10,2,0.0158,0.0125,27.1,NA,Saarisuo,unhunted,Kummunsuo,unhunted,11.0145921707153
10,3,0.0033,0.0032,3555,0.0033,Saarisuo,unhunted,Lauttasuo,hunted,20.4755172729492
10,4,0.0467,0.0317,6.9,NA,Saarisuo,unhunted,Lehtusuo,unhunted,8.09732723236084
10,5,0.1932,0.0791,4.2,NA,Saarisuo,unhunted,Nyrölä,unhunted,25.4468441009521
10,6,0.0034,0.0033,3437.7,0.0034,Saarisuo,unhunted,Palosuo,hunted,16.6756153106689
10,7,0.0034,0.0033,3642.8,0.0034,Saarisuo,unhunted,Pihtissuo,hunted,17.5374450683594
10,8,0.0031,0.0031,4967.9,0.0031,Saarisuo,unhunted,Pirttilampi,unhunted,5.61285972595215
10,9,0.0045,0.0044,254.4,0.0045,Saarisuo,unhunted,Pirttisuo,hunted,24.4998226165771
10,10,0.6759,0.0089,11.7,NA,Saarisuo,unhunted,Saarisuo,unhunted,NA
10,11,0.0418,0.0467,4.7,NA,Saarisuo,unhunted,Teerisuo,unhunted,15.8247547149658
10,12,0.0033,0.0033,4211.8,0.0033,Saarisuo,unhunted,Utusuo,hunted,25.2554130554199
11,1,0.0102,0.008,41,NA,Teerisuo,unhunted,Koskenpää,hunted,18.7078971862793
11,2,0.005,0.0043,85.5,NA,Teerisuo,unhunted,Kummunsuo,unhunted,22.9526977539062
11,3,0.002,0.002,1509.9,0.002,Teerisuo,unhunted,Lauttasuo,hunted,36.2881927490234
11,4,0.0389,0.025,5.3,NA,Teerisuo,unhunted,Lehtusuo,unhunted,8.64260673522949
11,5,0.1855,0.0727,3.6,NA,Teerisuo,unhunted,Nyrölä,unhunted,25.4087390899658
11,6,0.0019,0.0019,2692.3,0.0019,Teerisuo,unhunted,Palosuo,hunted,23.5917186737061
11,7,0.0021,0.0021,928,0.0021,Teerisuo,unhunted,Pihtissuo,hunted,33.3617668151855
11,8,0.0018,0.0018,2298.4,0.0018,Teerisuo,unhunted,Pirttilampi,unhunted,10.2682771682739
11,9,0.0039,0.0036,502.9,0.0039,Teerisuo,unhunted,Pirttisuo,hunted,39.655704498291
11,10,0.0058,0.0045,268.9,0.0058,Teerisuo,unhunted,Saarisuo,unhunted,15.8247547149658
11,11,0.7408,0.0683,3.1,NA,Teerisuo,unhunted,Teerisuo,unhunted,NA
11,12,0.002,0.0019,2710.8,0.002,Teerisuo,unhunted,Utusuo,hunted,41.0727958679199
12,1,0.0071,0.0068,1091.8,0.0071,Utusuo,hunted,Koskenpää,hunted,59.7538261413574
12,2,0.012,0.0098,124.1,NA,Utusuo,hunted,Kummunsuo,unhunted,22.1911010742188
12,3,0.0059,0.0058,6386.3,0.0059,Utusuo,hunted,Lauttasuo,hunted,5.20797300338745
12,4,0.069,0.0296,8.7,NA,Utusuo,hunted,Lehtusuo,unhunted,32.9065322875977
12,5,0.1704,0.0349,12.9,NA,Utusuo,hunted,Nyrölä,unhunted,41.6573753356934
12,6,0.0059,0.0058,7217.3,0.0059,Utusuo,hunted,Palosuo,hunted,30.0647277832031
12,7,0.006,0.0059,5609.6,0.006,Utusuo,hunted,Pihtissuo,hunted,7.78695487976074
12,8,0.0059,0.0058,7289.4,0.0059,Utusuo,hunted,Pirttilampi,unhunted,30.8145694732666
12,9,0.0059,0.0059,5055.7,0.0059,Utusuo,hunted,Pirttisuo,hunted,10.2178354263306
12,10,0.0118,0.0104,37.9,NA,Utusuo,hunted,Saarisuo,unhunted,25.2554130554199
12,11,0.0276,0.0236,10,NA,Utusuo,hunted,Teerisuo,unhunted,41.0727958679199
12,12,0.6726,0.0058,7037.5,0.6726,Utusuo,hunted,Utusuo,hunted,NA
